velocidad_bala,distancia,altura_bala,accion
-15.0,520.0,1,0
-15.0,430.0,1,1
-18.0,520.0,1,0
-18.0,178.0,1,2
-14.0,760.0,0,0
-14.0,340.0,0,0
-14.0,200.0,0,1
-12.0,598.0,1,0
-12.0,238.0,1,0
-12.0,70.0,1,2
-5.0,860.0,1,0
-5.0,710.0,1,0
-5.0,560.0,1,0
-5.0,410.0,1,0
-5.0,260.0,1,0
-5.0,110.0,1,0
-5.0,90.0,1,2
-7.0,781.0,0,0
-7.0,571.0,0,0
-7.0,361.0,0,0
-7.0,151.0,0,0
-7.0,102.0,0,1
-5.0,825.0,1,0
-5.0,675.0,1,0
-5.0,525.0,1,0
-5.0,375.0,1,0
-5.0,225.0,1,0
-5.0,75.0,1,0
-5.0,60.0,1,2
-15.0,685.0,0,0
-15.0,235.0,0,0
-15.0,175.0,0,1
-13.0,450.0,1,0
-13.0,138.0,1,2
-12.0,886.0,1,0
-12.0,526.0,1,0
-12.0,166.0,1,0
-12.0,82.0,1,2
-5.0,830.0,1,0
-5.0,680.0,1,0
-5.0,530.0,1,0
-5.0,380.0,1,0
-5.0,230.0,1,0
-5.0,80.0,1,0
-5.0,65.0,1,2
-6.0,862.0,1,0
-6.0,682.0,1,0
-6.0,502.0,1,0
-6.0,322.0,1,0
-6.0,142.0,1,0
-6.0,70.0,1,2
-9.0,853.0,0,0
-9.0,583.0,0,0
-9.0,313.0,0,0
-9.0,106.0,0,1
-16.0,682.0,1,0
-16.0,298.0,1,2
-6.0,928.0,0,0
-6.0,748.0,0,0
-6.0,568.0,0,0
-6.0,388.0,0,0
-6.0,208.0,0,0
-6.0,82.0,0,1
-13.0,788.0,0,0
-13.0,398.0,0,0
-13.0,190.0,0,1
-14.0,634.0,0,0
-14.0,214.0,0,0
-14.0,172.0,0,1
-9.0,610.0,1,0
-9.0,340.0,1,0
-9.0,70.0,1,2
-12.0,946.0,1,0
-12.0,586.0,1,0
-12.0,226.0,1,0
-12.0,118.0,1,2
-5.0,855.0,0,0
-5.0,705.0,0,0
-5.0,555.0,0,0
-5.0,405.0,0,0
-5.0,255.0,0,0
-5.0,105.0,0,1
-5.0,50.0,0,0
-11.0,684.0,1,0
-11.0,354.0,1,0
-11.0,79.0,1,2
-13.0,853.0,1,0
-13.0,463.0,1,0
-13.0,86.0,1,2
-9.0,916.0,1,0
-9.0,646.0,1,0
-9.0,376.0,1,0
-9.0,106.0,1,0
-9.0,70.0,1,2
-6.0,802.0,0,0
-6.0,622.0,0,0
-6.0,442.0,0,0
-6.0,262.0,0,0
-6.0,82.0,0,1
-12.0,910.0,1,0
-12.0,550.0,1,0
-12.0,190.0,1,0
-12.0,118.0,1,2
-7.0,788.0,0,0
-7.0,578.0,0,0
-7.0,368.0,0,0
-7.0,158.0,0,0
-7.0,137.0,0,1
-14.0,578.0,0,0
-14.0,158.0,0,0
-14.0,144.0,0,1
-14.0,354.0,1,0
-14.0,130.0,1,2
-16.0,698.0,1,0
-16.0,218.0,1,0
-16.0,154.0,1,2
-12.0,622.0,1,0
-12.0,262.0,1,0
-12.0,166.0,1,2
-16.0,634.0,0,0
-16.0,266.0,0,1
-4.0,906.0,0,0
-4.0,786.0,0,0
-4.0,666.0,0,0
-4.0,546.0,0,0
-4.0,426.0,0,0
-4.0,306.0,0,0
-4.0,186.0,0,0
-4.0,66.0,0,1
-4.0,58.0,0,0
-6.0,808.0,1,0
-6.0,628.0,1,0
-6.0,448.0,1,0
-6.0,268.0,1,0
-6.0,88.0,1,0
-6.0,70.0,1,2
-18.0,574.0,0,0
-18.0,160.0,0,1
-15.0,595.0,0,0
-15.0,295.0,0,1
-6.0,874.0,0,0
-6.0,694.0,0,0
-6.0,514.0,0,0
-6.0,334.0,0,0
-6.0,154.0,0,0
-6.0,112.0,0,1
-11.0,706.0,0,0
-11.0,376.0,0,0
-11.0,112.0,0,1
-16.0,650.0,0,0
-16.0,170.0,0,0
-16.0,58.0,0,1
-5.0,745.0,0,0
-5.0,595.0,0,0
-5.0,445.0,0,0
-5.0,295.0,0,0
-5.0,145.0,0,0
-5.0,100.0,0,1
-7.0,844.0,0,0
-7.0,634.0,0,0
-7.0,424.0,0,0
-7.0,214.0,0,0
-7.0,144.0,0,1
-19.0,571.0,1,0
-19.0,362.0,1,1
-14.0,690.0,0,0
-14.0,270.0,0,0
-14.0,158.0,0,1
-14.0,466.0,1,0
-14.0,116.0,1,2
-14.0,844.0,0,0
-14.0,424.0,0,0
-14.0,326.0,0,1
-14.0,620.0,1,0
-14.0,312.0,1,2
-8.0,914.0,0,0
-8.0,674.0,0,0
-8.0,434.0,0,0
-8.0,194.0,0,0
-8.0,114.0,0,1
-16.0,538.0,0,0
-16.0,410.0,0,1
-7.0,809.0,0,0
-7.0,599.0,0,0
-7.0,389.0,0,0
-7.0,179.0,0,0
-7.0,144.0,0,1
-4.0,866.0,1,0
-4.0,746.0,1,0
-4.0,626.0,1,0
-4.0,506.0,1,0
-4.0,386.0,1,0
-4.0,266.0,1,0
-4.0,146.0,1,0
-4.0,66.0,1,2
-11.0,849.0,1,0
-11.0,519.0,1,0
-11.0,189.0,1,0
-11.0,79.0,1,2
-8.0,778.0,0,0
-8.0,538.0,0,0
-8.0,298.0,0,0
-8.0,114.0,0,1
-18.0,718.0,1,0
-18.0,178.0,1,0
-18.0,124.0,1,2
-6.0,766.0,1,0
-6.0,586.0,1,0
-6.0,406.0,1,0
-6.0,226.0,1,0
-6.0,58.0,1,2
-6.0,62.0,1,0
-6.0,796.0,0,0
-6.0,616.0,0,0
-6.0,436.0,0,0
-6.0,256.0,0,0
-6.0,106.0,0,1
-12.0,898.0,1,0
-12.0,538.0,1,0
-12.0,178.0,1,0
-12.0,106.0,1,2
-11.0,673.0,1,0
-11.0,343.0,1,0
-11.0,68.0,1,2
-8.0,890.0,1,0
-8.0,650.0,1,0
-8.0,410.0,1,0
-8.0,170.0,1,0
-8.0,66.0,1,2
